name,lat,lon,x_url
柄酒造,34.31903341455433, 132.8165584534892,https://www.tsukasyuzou.jp/
今田酒造,34.319820014547, 132.81978976386438,https://fukucho.jp/
中尾醸造,34.340883148374154, 132.90370870919548,http://www.maboroshi.co.jp/company/
竹鶴酒造,34.34607639696198, 132.91133263803098,https://www.taketsuru-shuzou.co.jp/
藤井酒造,34.34713475686066, 132.9087803533732,https://www.fujiishuzou.com/
瀬戸内醸造所,34.356573371792784, 133.08298394422584,https://shop.setouchijozojo.jp/
賀茂鶴酒造,34.43081002035992, 132.74690821784034,https://www.kamotsuru.jp/
福美人酒造,34.430676209143556, 132.7484354835056,https://www.fukubijin.co.jp/
白牡丹酒造,34.430171955504484, 132.74557604173015,https://www.hakubotan.co.jp/
西條鶴醸造,34.43023825577051, 132.74623048788482,https://saijotsuru.co.jp/
亀齢酒造,34.42997071056299, 132.74632478590777,https://kireikireikirei.jimdofree.com/
賀茂泉酒造,34.429531610247786, 132.7488761245397,https://www.kamoizumi.co.jp/
山陽鶴酒造,34.43015921151904, 132.7407673282366,https://sanyotsuru.jp/
金光酒造,34.335531998510525, 132.69173755337283,https://www.kamokin.com/
盛川酒造,34.28317672587351, 132.72937183197666,https://morikawa-shuzo.com/
宝剣酒造,34.226120945255545, 132.65533216530378,https://imadeya.co.jp/blogs/brewery/houken
相原酒造,34.22824992510996, 132.65078313904758,https://www.ugonotsuki.com/
千福・三宅本店,34.252229387177515, 132.57740022433634,https://sempuku.co.jp/
榎酒造,34.19774715244936, 132.5328791871293,https://hanahato.ocnk.net/
林酒造,34.111847484333914, 132.54368534438856,https://hayashi-shuzo.com/




MICHISHIO BREWING,34.237520154272524, 132.91773649754836,https://michishio.base.ec/
ナオライ,34.19143258624638, 132.8192631996505,https://naorai.co/
大三島みんなのワイナリー,34.24832153810757, 133.00040659754848,http://www.ohmishimawine.com/
