name,lat,lon,url,instagram_url,x_url,min_zoom

大芝島,34.27422076346034,132.80172378912195
小芝島,34.26485413169861,132.79890907010295,,,,14
龍王島,34.294332066920994,132.80441469979218,,,,14
藍之島,34.28865506403815,132.8158965010435,,,,14
下蒲刈島,34.186411920954534,132.66643891459034
上蒲刈島,34.18511868390856,132.72947738045187
下黒島,34.15403232808218,132.6538893371698,,,,14
上黒島,34.154267648646055,132.66978533737998,,,,14
豊島,34.17330946917491,132.78321988510754
尾久比島,34.152716876391146,132.76628185762303,,,,14
斎島,34.11748803567222,132.7927258776007,,,,14
大崎下島,34.17227593943227,132.83101683810156
三角島,34.193188615702304,132.81658950347634,,,,14
岡村島,34.18689864496062,132.8804018510081,,,,14
小大下島,34.18969421927232,132.90181290695466,,,,14
大下島,34.19148120073194,132.9261479444472,,,,14
大三島,34.24428093436227,133.01583347172044
大崎上島,34.23470148306081,132.8921854569889
長島,34.262559584075,132.87167143073276,,,,14
臼島,34.28164810612252,132.88556793649232,,,,14
唐船島,34.287171363138214,132.8514830985598,,,,14
阿波島,34.318505342718474,132.94383046122113,,,,14
大久野島,34.30873505904607,132.9940289822961,,,,14
佐組島,34.28528191527532,132.94006804420275,,,,14
伯方島,34.214135853510776,133.0933178160175
鵜島,34.18771141765293,133.0884674358904,,,,14
見近島,34.19497543699619,133.07543412557763,,,,14
能島,34.18280709530979,133.08096590276082,,,,14
大島,34.15839952933292,133.05869062865378
津島,34.151612816618865,133.00019126170508,,,,14
馬島,34.117111039385385,132.99333153146145,,,,14
小島,34.12591689175066,132.97890463135647,,,,14
来島,34.11810379632069,132.96928916473993,,,,14
比岐島,34.05811344084179,133.10048739542435,,,,14
魚島,34.175961257466426,133.32038728948962,,,,14
高井神島,34.1889475727899,133.2697731636297,,,,14
豊島,34.23098140092988,133.2592059477169,,,,14
津波島,34.22174513900784,133.15185649753326,,,,14
赤穂根島,34.239156981874714,133.16187159332992,,,,14
岩城島,34.26027851648599,133.146895749148
佐島,34.24225204375021,133.1879857241037,,,,14
弓削島,34.273196402265256,133.2191542010554
生名島,34.26871017593133,133.17768983072384,,,,14
生口島,34.28874626007335,133.1104657922661
因島,34.32119596721006,133.17421963098298
高根島,34.31605951447949,133.0753895030075
佐木島,34.33835108743057,133.11330314749293
小佐木島,34.3638312574564,133.10391191935295,,,,14
細島,34.365883580989816,133.14081943822214,,,,14
小細島,34.35505904364793,133.14008586313662,,,,14
岩子島,34.38142496701659,133.1625724579913,,,,14
向島,34.38455176385054,133.20385669315496
加島,34.374528298791446,133.24222501965465,,,,14
百島,34.372788394463285,133.26966807640545,,,,14
横島,34.344342612215144,133.27689188952755
田島,34.35799634475764,133.3163160334716
仙酔島,34.383573574969866,133.39556995228224,,,,14
直島,34.45938221448212,133.9839778845511
豊島,34.48111224360719,134.0736688770863
倉橋島,34.130593523416216,132.52378109124342
江田島,34.19680018707224,132.46127907772686
厳島(宮島),34.27389993423718,132.30779152710238
中島,33.97293724540003,132.61558379412483
